 Depth/ang         FR
 20.010000   0.027944
 40.010000   0.032095
 60.010000   0.042971
 80.010000   0.057657
100.010000   0.071833
120.010000   0.087644
140.010000   0.106054
160.010000   0.124447
180.010000   0.109027
200.010000   0.103074
220.010000   0.110823
240.010000   0.114202
260.010000   0.117327
280.010000   0.117894
300.010000   0.117902
320.010000   0.115125
340.010000   0.111526
360.010000   0.108926
380.010000   0.108436
400.010000   0.103185
420.010000   0.101153
440.010000   0.095581
460.010000   0.090043
480.010000   0.086977
500.010000   0.082650
520.010000   0.077459
540.010000   0.073504
560.010000   0.068339
580.010000   0.062792
600.010000   0.059759
620.010000   0.056693
640.010000   0.051390
660.010000   0.048527
680.010000   0.044614
700.010000   0.041099
720.010000   0.038727
740.010000   0.033915
760.010000   0.031010
780.010000   0.027393
800.010000   0.025140
820.010000   0.022946
840.010000   0.019854
860.010000   0.018135
880.010000   0.015949
900.010000   0.014222
920.010000   0.012375
940.010000   0.011418
960.010000   0.009817
980.010000   0.008801
1000.010000   0.005282
1020.010000   0.006440
1040.010000   0.007597
1060.010000   0.010167
1080.010000   0.007505
1100.010000   0.008117
1120.010000   0.009162
1140.010000   0.008479
1160.010000   0.008579
1180.010000   0.007846
1200.010000   0.008057
1220.010000   0.007645
1240.010000   0.007223
1260.010000   0.007113
1280.010000   0.005817
1300.010000   0.006359
1320.010000   0.005405
1340.010000   0.005586
1360.010000   0.004802
1380.010000   0.004059
1400.010000   0.004069
1420.010000   0.003727
1440.010000   0.002803
1460.010000   0.003506
1480.010000   0.002602
1500.010000   0.002903
1520.010000   0.002240
1540.010000   0.002371
1560.010000   0.001959
1580.010000   0.001979
1600.010000   0.001979
1620.010000   0.001487
1640.010000   0.001999
1660.010000   0.001326
1680.010000   0.001135
1700.010000   0.001256
1720.010000   0.000995
1740.010000   0.000753
1760.010000   0.000733
1780.010000   0.000753
1800.010000   0.000703
1820.010000   0.000522
1840.010000   0.000683
1860.010000   0.000683
1880.010000   0.000462
1900.010000   0.000512
1920.010000   0.000261
1940.010000   0.000402
1960.010000   0.000432
1980.010000   0.000342
2000.010000   0.000342
