 Depth/ang         FR
 20.010000   0.055889
 40.010000   0.064189
 60.010000   0.085942
 80.010000   0.115315
100.010000   0.143667
120.010000   0.175287
140.010000   0.212107
160.010000   0.248894
180.010000   0.218053
200.010000   0.206148
220.010000   0.221645
240.010000   0.228403
260.010000   0.234653
280.010000   0.235788
300.010000   0.235805
320.010000   0.230250
340.010000   0.223052
360.010000   0.217853
380.010000   0.216871
400.010000   0.206370
420.010000   0.202306
440.010000   0.191161
460.010000   0.180086
480.010000   0.173954
500.010000   0.165300
520.010000   0.154918
540.010000   0.147009
560.010000   0.136678
580.010000   0.125584
600.010000   0.119519
620.010000   0.113386
640.010000   0.102781
660.010000   0.097055
680.010000   0.089228
700.010000   0.082197
720.010000   0.077454
740.010000   0.067831
760.010000   0.062020
780.010000   0.054786
800.010000   0.050280
820.010000   0.045892
840.010000   0.039708
860.010000   0.036269
880.010000   0.031899
900.010000   0.028443
920.010000   0.024750
940.010000   0.022836
960.010000   0.019634
980.010000   0.017601
1000.010000   0.010565
1020.010000   0.012879
1040.010000   0.015194
1060.010000   0.020333
1080.010000   0.015009
1100.010000   0.016235
1120.010000   0.018324
1140.010000   0.016958
1160.010000   0.017159
1180.010000   0.015692
1200.010000   0.016114
1220.010000   0.015290
1240.010000   0.014446
1260.010000   0.014225
1280.010000   0.011633
1300.010000   0.012718
1320.010000   0.010810
1340.010000   0.011171
1360.010000   0.009604
1380.010000   0.008117
1400.010000   0.008137
1420.010000   0.007454
1440.010000   0.005606
1460.010000   0.007012
1480.010000   0.005204
1500.010000   0.005807
1520.010000   0.004481
1540.010000   0.004742
1560.010000   0.003918
1580.010000   0.003958
1600.010000   0.003958
1620.010000   0.002974
1640.010000   0.003998
1660.010000   0.002652
1680.010000   0.002270
1700.010000   0.002512
1720.010000   0.001989
1740.010000   0.001507
1760.010000   0.001467
1780.010000   0.001507
1800.010000   0.001406
1820.010000   0.001045
1840.010000   0.001366
1860.010000   0.001366
1880.010000   0.000924
1900.010000   0.001025
1920.010000   0.000522
1940.010000   0.000804
1960.010000   0.000864
1980.010000   0.000683
2000.010000   0.000683
