 Depth/ang         FR
 20.010000   0.111777
 40.010000   0.128379
 60.010000   0.171885
 80.010000   0.230630
100.010000   0.287333
120.010000   0.350574
140.010000   0.424215
160.010000   0.497788
180.010000   0.436106
200.010000   0.412295
220.010000   0.443291
240.010000   0.456806
260.010000   0.469306
280.010000   0.471576
300.010000   0.471610
320.010000   0.460500
340.010000   0.446105
360.010000   0.435705
380.010000   0.433742
400.010000   0.412740
420.010000   0.404612
440.010000   0.382323
460.010000   0.360171
480.010000   0.347909
500.010000   0.330599
520.010000   0.309836
540.010000   0.294017
560.010000   0.273355
580.010000   0.251167
600.010000   0.239038
620.010000   0.226772
640.010000   0.205561
660.010000   0.194109
680.010000   0.178455
700.010000   0.164394
720.010000   0.154908
740.010000   0.135662
760.010000   0.124040
780.010000   0.109572
800.010000   0.100559
820.010000   0.091783
840.010000   0.079416
860.010000   0.072538
880.010000   0.063798
900.010000   0.056886
920.010000   0.049500
940.010000   0.045672
960.010000   0.039268
980.010000   0.035202
1000.010000   0.021130
1020.010000   0.025758
1040.010000   0.030387
1060.010000   0.040667
1080.010000   0.030018
1100.010000   0.032469
1120.010000   0.036648
1140.010000   0.033916
1160.010000   0.034318
1180.010000   0.031384
1200.010000   0.032228
1220.010000   0.030581
1240.010000   0.028893
1260.010000   0.028451
1280.010000   0.023267
1300.010000   0.025437
1320.010000   0.021619
1340.010000   0.022343
1360.010000   0.019208
1380.010000   0.016235
1400.010000   0.016275
1420.010000   0.014909
1440.010000   0.011212
1460.010000   0.014025
1480.010000   0.010408
1500.010000   0.011613
1520.010000   0.008961
1540.010000   0.009484
1560.010000   0.007836
1580.010000   0.007916
1600.010000   0.007916
1620.010000   0.005947
1640.010000   0.007997
1660.010000   0.005304
1680.010000   0.004541
1700.010000   0.005023
1720.010000   0.003978
1740.010000   0.003014
1760.010000   0.002933
1780.010000   0.003014
1800.010000   0.002813
1820.010000   0.002090
1840.010000   0.002733
1860.010000   0.002733
1880.010000   0.001849
1900.010000   0.002049
1920.010000   0.001045
1940.010000   0.001607
1960.010000   0.001728
1980.010000   0.001366
2000.010000   0.001366
