 Depth/ang         FR
 20.010000   0.013972
 40.010000   0.016047
 60.010000   0.021486
 80.010000   0.028829
100.010000   0.035917
120.010000   0.043822
140.010000   0.053027
160.010000   0.062224
180.010000   0.054513
200.010000   0.051537
220.010000   0.055411
240.010000   0.057101
260.010000   0.058663
280.010000   0.058947
300.010000   0.058951
320.010000   0.057563
340.010000   0.055763
360.010000   0.054463
380.010000   0.054218
400.010000   0.051592
420.010000   0.050576
440.010000   0.047790
460.010000   0.045021
480.010000   0.043489
500.010000   0.041325
520.010000   0.038730
540.010000   0.036752
560.010000   0.034169
580.010000   0.031396
600.010000   0.029880
620.010000   0.028347
640.010000   0.025695
660.010000   0.024264
680.010000   0.022307
700.010000   0.020549
720.010000   0.019363
740.010000   0.016958
760.010000   0.015505
780.010000   0.013696
800.010000   0.012570
820.010000   0.011473
840.010000   0.009927
860.010000   0.009067
880.010000   0.007975
900.010000   0.007111
920.010000   0.006188
940.010000   0.005709
960.010000   0.004909
980.010000   0.004400
1000.010000   0.002641
1020.010000   0.003220
1040.010000   0.003798
1060.010000   0.005083
1080.010000   0.003752
1100.010000   0.004059
1120.010000   0.004581
1140.010000   0.004239
1160.010000   0.004290
1180.010000   0.003923
1200.010000   0.004029
1220.010000   0.003823
1240.010000   0.003612
1260.010000   0.003556
1280.010000   0.002908
1300.010000   0.003180
1320.010000   0.002702
1340.010000   0.002793
1360.010000   0.002401
1380.010000   0.002029
1400.010000   0.002034
1420.010000   0.001864
1440.010000   0.001401
1460.010000   0.001753
1480.010000   0.001301
1500.010000   0.001452
1520.010000   0.001120
1540.010000   0.001185
1560.010000   0.000980
1580.010000   0.000990
1600.010000   0.000990
1620.010000   0.000743
1640.010000   0.001000
1660.010000   0.000663
1680.010000   0.000568
1700.010000   0.000628
1720.010000   0.000497
1740.010000   0.000377
1760.010000   0.000367
1780.010000   0.000377
1800.010000   0.000352
1820.010000   0.000261
1840.010000   0.000342
1860.010000   0.000342
1880.010000   0.000231
1900.010000   0.000256
1920.010000   0.000131
1940.010000   0.000201
1960.010000   0.000216
1980.010000   0.000171
2000.010000   0.000171
