 Depth/ang         FR
 20.010000   0.223554
 40.010000   0.256758
 60.010000   0.343770
 80.010000   0.461260
100.010000   0.574666
120.010000   0.701149
140.010000   0.848430
160.010000   0.995576
180.010000   0.872213
200.010000   0.824591
220.010000   0.886581
240.010000   0.913613
260.010000   0.938613
280.010000   0.943152
300.010000   0.943219
320.010000   0.921000
340.010000   0.892209
360.010000   0.871410
380.010000   0.867484
400.010000   0.825480
420.010000   0.809224
440.010000   0.764646
460.010000   0.720343
480.010000   0.695817
500.010000   0.661199
520.010000   0.619673
540.010000   0.588035
560.010000   0.546710
580.010000   0.502334
600.010000   0.478076
620.010000   0.453544
640.010000   0.411122
660.010000   0.388219
680.010000   0.356910
700.010000   0.328789
720.010000   0.309815
740.010000   0.271324
760.010000   0.248079
780.010000   0.219144
800.010000   0.201118
820.010000   0.183567
840.010000   0.158832
860.010000   0.145077
880.010000   0.127596
900.010000   0.113772
920.010000   0.099000
940.010000   0.091343
960.010000   0.078536
980.010000   0.070405
1000.010000   0.042259
1020.010000   0.051517
1040.010000   0.060774
1060.010000   0.081334
1080.010000   0.060036
1100.010000   0.064938
1120.010000   0.073297
1140.010000   0.067832
1160.010000   0.068635
1180.010000   0.062768
1200.010000   0.064456
1220.010000   0.061161
1240.010000   0.057785
1260.010000   0.056901
1280.010000   0.046534
1300.010000   0.050874
1320.010000   0.043239
1340.010000   0.044686
1360.010000   0.038417
1380.010000   0.032469
1400.010000   0.032550
1420.010000   0.029817
1440.010000   0.022423
1460.010000   0.028049
1480.010000   0.020816
1500.010000   0.023227
1520.010000   0.017922
1540.010000   0.018967
1560.010000   0.015672
1580.010000   0.015833
1600.010000   0.015833
1620.010000   0.011895
1640.010000   0.015994
1660.010000   0.010609
1680.010000   0.009082
1700.010000   0.010046
1720.010000   0.007957
1740.010000   0.006028
1760.010000   0.005867
1780.010000   0.006028
1800.010000   0.005626
1820.010000   0.004179
1840.010000   0.005465
1860.010000   0.005465
1880.010000   0.003697
1900.010000   0.004099
1920.010000   0.002090
1940.010000   0.003215
1960.010000   0.003456
1980.010000   0.002733
2000.010000   0.002733
