====== H (10) into Gold+Cr+Si                   =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 10 keV
 Total Ions calculated =100000.00
============= TARGET MATERIAL ======================================
Layer  1 : Gold
Layer Width = 10000.E-01 AAA ;
  Layer # 1- Density = 5.903E22 atoms/cm3 = 19.31 g/cm3
  Layer # 1- Au = 100  Atomic Percent = 100  Mass Percent
Layer  2 : Cr
Layer Width = 50000.E-03 AAA ;
  Layer # 2- Density = 8.338E22 atoms/cm3 = 7.2 g/cm3
  Layer # 2- Cr = 100  Atomic Percent = 100  Mass Percent
Layer  3 : Si
Layer Width = 50000.E+02 AAA ;
  Layer # 3- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 3- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 531622.E-03 A   Straggling = 291628.E-03 A
 Ion Lateral Range = 291085.E-03 A   Straggling = 361490.E-03 A
 Ion Radial  Range = 457041.E-03 A   Straggling = 229204.E-03 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
1120010.E-03 30991770.E-05 38951340.E-05 46925957.E-05 25208010.E-05 
1140010.E-03 29223511.E-05 37743467.E-05 48604349.E-05 26587423.E-05 
1160010.E-03 30606754.E-05 39867153.E-05 47062179.E-05 27839661.E-05 
1180010.E-03 32765210.E-05 39961393.E-05 50727457.E-05 25466114.E-05 
1200010.E-03 33992342.E-05 43066036.E-05 49989787.E-05 27405278.E-05 
1220010.E-03 35934786.E-05 45078029.E-05 55096440.E-05 30042495.E-05 
1240010.E-03 28083196.E-05 35436982.E-05 46007498.E-05 26019251.E-05 
1260010.E-03 36984480.E-05 46565205.E-05 54073821.E-05 27500929.E-05 
1280010.E-03 29259915.E-05 38349743.E-05 49785190.E-05 28062520.E-05 
1300010.E-03 36185883.E-05 45400810.E-05 53234566.E-05 28430743.E-05 
1320010.E-03 30142055.E-05 38471043.E-05 50820788.E-05 29544839.E-05 
1340010.E-03 33804719.E-05 42232161.E-05 52943072.E-05 28855455.E-05 
1360010.E-03 32351189.E-05 41545441.E-05 51224379.E-05 26295667.E-05 
1380010.E-03 29278241.E-05 37674384.E-05 48584501.E-05 28001235.E-05 
1400010.E-03 32355226.E-05 40894917.E-05 51000783.E-05 27093528.E-05 
1420010.E-03 31391165.E-05 40111707.E-05 51681724.E-05 34725919.E-05 
1440010.E-03 32350053.E-05 42302367.E-05 51696173.E-05 26016202.E-05 
1460010.E-03 37324893.E-05 48051245.E-05 60235504.E-05 32402698.E-05 
1480010.E-03 38249323.E-05 47566869.E-05 61025791.E-05 31586181.E-05 
1500010.E-03 37914681.E-05 48359543.E-05 55675804.E-05 33183941.E-05 
1520010.E-03 33730059.E-05 42930757.E-05 51744802.E-05 30272380.E-05 
1540010.E-03 36128957.E-05 45735498.E-05 56419148.E-05 26701246.E-05 
1560010.E-03 33587791.E-05 46237803.E-05 57762690.E-05 32528168.E-05 
1580010.E-03 33960907.E-05 44450014.E-05 51560238.E-05 32750850.E-05 
1600010.E-03 39334175.E-05 49779686.E-05 59036559.E-05 33281210.E-05 
1620010.E-03 34055939.E-05 42201998.E-05 62659848.E-05 30372140.E-05 
1640010.E-03 43847238.E-05 55830590.E-05 58159110.E-05 33661042.E-05 
1660010.E-03 43325078.E-05 52149301.E-05 64115713.E-05 30248290.E-05 
1680010.E-03 37593372.E-05 52402151.E-05 65759638.E-05 41431411.E-05 
1700010.E-03 33238502.E-05 41133610.E-05 52680649.E-05 28071749.E-05 
1720010.E-03 39325925.E-05 48158667.E-05 62398538.E-05 32215059.E-05 
1740010.E-03 36299525.E-05 47006278.E-05 54643452.E-05 27651696.E-05 
1760010.E-03 49566190.E-05 58042691.E-05 68579754.E-05 30112680.E-05 
1780010.E-03 37839150.E-05 48542764.E-05 65149803.E-05 32432609.E-05 
1800010.E-03 32296031.E-05 40710082.E-05 49521708.E-05 23533933.E-05 
1820010.E-03 32295511.E-05 39880656.E-05 59695488.E-05 30138229.E-05 
1840010.E-03 33045775.E-05 41545612.E-05 52983773.E-05 27917120.E-05 
1860010.E-03 40235930.E-05 51184967.E-05 59684745.E-05 35188943.E-05 
1880010.E-03 44335715.E-05 54298803.E-05 68729270.E-05 26524409.E-05 
1900010.E-03 37212931.E-05 44580696.E-05 57406055.E-05 29558877.E-05 
1920010.E-03 12324490.E-05 14206149.E-05 38154358.E-05 12500975.E-05 
1940010.E-03 52369957.E-05 60605494.E-05 62526817.E-05 36946137.E-05 
1960010.E-03 55528584.E-05 67903694.E-05 62449895.E-05 33576325.E-05 
1980010.E-03 26769917.E-05 29920131.E-05 45887345.E-05 21207581.E-05 
2000010.E-03 35538432.E-05 41304366.E-05 58616292.E-05 28829715.E-05 
