      Depth/ang           n_eff           k_eff
20.0100000000000  0.99996068594656  0.00000405291040
40.0100000000000  0.99996186214795  0.00000393165521
60.0100000000000  0.99996494454213  0.00000361389258
80.0100000000000  0.99996910664597  0.00000318481602
100.0100000000000  0.99997312407964  0.00000277066447
120.0100000000000  0.99997760468995  0.00000230875449
140.0100000000000  0.99998282215009  0.00000177088875
160.0100000000000  0.99998803484862  0.00000123349307
180.0100000000000  0.99998366470219  0.00000168402901
200.0100000000000  0.99998197766166  0.00000185794535
220.0100000000000  0.99998417369106  0.00000163155807
240.0100000000000  0.99998513130453  0.00000153282908
260.0100000000000  0.99998601693431  0.00000144152851
280.0100000000000  0.99998617771747  0.00000142495154
300.0100000000000  0.99998618012638  0.00000142469830
320.0100000000000  0.99998539297858  0.00000150584694
340.0100000000000  0.99998437306395  0.00000161099747
360.0100000000000  0.99998363626759  0.00000168694374
380.0100000000000  0.99998349716476  0.00000170129566
400.0100000000000  0.99998200916642  0.00000185470079
420.0100000000000  0.99998143329525  0.00000191405981
440.0100000000000  0.99997985409004  0.00000207686855
460.0100000000000  0.99997828466297  0.00000223864842
480.0100000000000  0.99997741585057  0.00000232822001
500.0100000000000  0.99997618948124  0.00000245464689
520.0100000000000  0.99997471844328  0.00000260629786
540.0100000000000  0.99997359764169  0.00000272184914
560.0100000000000  0.99997213373723  0.00000287275683
580.0100000000000  0.99997056171633  0.00000303482004
600.0100000000000  0.99996970235281  0.00000312341100
620.0100000000000  0.99996883330670  0.00000321299755
640.0100000000000  0.99996733053153  0.00000336791792
660.0100000000000  0.99996651915795  0.00000345156540
680.0100000000000  0.99996541007324  0.00000356590267
700.0100000000000  0.99996441387642  0.00000366859961
720.0100000000000  0.99996374174723  0.00000373789027
740.0100000000000  0.99996237817090  0.00000387846197
760.0100000000000  0.99996155470694  0.00000396335174
780.0100000000000  0.99996052969914  0.00000406901985
800.0100000000000  0.99995989115361  0.00000413484401
820.0100000000000  0.99995926937598  0.00000419894919
840.0100000000000  0.99995839315342  0.00000428927667
860.0100000000000  0.99995790589613  0.00000433950751
880.0100000000000  0.99995728662228  0.00000440334986
900.0100000000000  0.99995679690904  0.00000445383344
920.0100000000000  0.99995627361313  0.00000450777983
940.0100000000000  0.99995600235327  0.00000453574556
960.0100000000000  0.99995554867912  0.00000458251289
980.0100000000000  0.99995526065156  0.00000461220427
1000.0100000000000  0.99997947070305  0.00000210375689
1020.0100000000000  0.99997961792403  0.00000208866234
1040.0100000000000  0.99997976512381  0.00000207357837
1060.0100000000000  0.99999287071480  0.00000016272314
1080.0100000000000  0.99999274944117  0.00000016559743
1100.0100000000000  0.99999277735848  0.00000016492563
1120.0100000000000  0.99999282495532  0.00000016391277
1140.0100000000000  0.99999279383401  0.00000016458870
1160.0100000000000  0.99999279841224  0.00000016441998
1180.0100000000000  0.99999276499803  0.00000016526187
1200.0100000000000  0.99999277461002  0.00000016492563
1220.0100000000000  0.99999275584917  0.00000016542974
1240.0100000000000  0.99999273662518  0.00000016593231
1260.0100000000000  0.99999273159141  0.00000016593231
1280.0100000000000  0.99999267255280  0.00000016726512
1300.0100000000000  0.99999269726610  0.00000016676656
1320.0100000000000  0.99999265379194  0.00000016776219
1340.0100000000000  0.99999266202971  0.00000016743097
1360.0100000000000  0.99999262633778  0.00000016825780
1380.0100000000000  0.99999259246802  0.00000016924466
1400.0100000000000  0.99999259292357  0.00000016908058
1420.0100000000000  0.99999257736671  0.00000016940857
1440.0100000000000  0.99999253525919  0.00000017038877
1460.0100000000000  0.99999256729917  0.00000016973593
1480.0100000000000  0.99999252611033  0.00000017071425
1500.0100000000000  0.99999253983741  0.00000017038877
1520.0100000000000  0.99999250963479  0.00000017103911
1540.0100000000000  0.99999251557965  0.00000017087676
1560.0100000000000  0.99999249681880  0.00000017120131
1580.0100000000000  0.99999249773748  0.00000017136335
1600.0100000000000  0.99999249773748  0.00000017136335
1620.0100000000000  0.99999247530949  0.00000017184857
1640.0100000000000  0.99999249864857  0.00000017120131
1660.0100000000000  0.99999246799041  0.00000017201001
1680.0100000000000  0.99999245928950  0.00000017217129
1700.0100000000000  0.99999246478641  0.00000017201001
1720.0100000000000  0.99999245288151  0.00000017233243
1740.0100000000000  0.99999244190288  0.00000017249341
1760.0100000000000  0.99999244098420  0.00000017265424
1780.0100000000000  0.99999244190288  0.00000017249341
1800.0100000000000  0.99999243960997  0.00000017265424
1820.0100000000000  0.99999243137220  0.00000017281493
1840.0100000000000  0.99999243869888  0.00000017265424
1860.0100000000000  0.99999243869888  0.00000017265424
1880.0100000000000  0.99999242863134  0.00000017297546
1900.0100000000000  0.99999243091666  0.00000017281493
1920.0100000000000  0.99999241947489  0.00000017297546
1940.0100000000000  0.99999242588289  0.00000017281493
1960.0100000000000  0.99999242725711  0.00000017281493
1980.0100000000000  0.99999242313443  0.00000017297546
2000.0100000000000  0.99999242313443  0.00000017297546
